,video,autonomy,interventions,video_length
33,39836ba472d4446e,0.4285714285714286,8,36.0
2,d20220cd1a924251,0.46153846153846156,7,36.0
78,24ba83bbf4314e65,0.5,6,36.0
71,5bd4492f440f4e20,0.5,6,36.0
60,7e8791f34e104d61,0.5,6,36.0
10,781aa0bc750c4c95,0.5,6,36.0
21,34575f86c87945bf,0.5454545454545454,5,36.0
40,be8e8fa9809643aa,0.6629213483146068,5,59.0
74,524558263bd84070,0.6666666666666667,3,36.0
66,2842886c6e9f4ddd,0.6666666666666667,3,36.0
65,4ec04cd90bd248ea,0.6666666666666667,3,36.0
47,a571aa519e064436,0.6666666666666667,3,36.0
45,47952aa2112747b4,0.6666666666666667,3,36.0
43,31e8cad6ea1646ad,0.6666666666666667,3,36.0
0,518874440faa42b9,0.6666666666666667,3,36.0
9,59ce46ec60254518,0.6666666666666667,3,36.0
4,96ea6b3045e346c8,0.6666666666666667,3,36.0
5,7c53a433656b4f9f,0.6666666666666667,3,36.0
6,7c2d1a31ffc0483e,0.6666666666666667,3,36.0
57,6a2c87f4b0c346f3,0.7354584835157567,4,66.723
80,fcef7060fff5415a,0.75,2,36.0
37,1681f731fa0f45e8,0.75,2,36.0
51,d8d2b4a6a39b4ad6,0.75,2,36.0
54,110f9875140749d8,0.75,2,36.0
58,671a87f4eb424ab6,0.75,2,36.0
64,6b7d9b0cf01e4d3f,0.75,2,36.0
62,73a1a06faa5b44d1,0.75,2,36.0
19,65c35d214f614380,0.75,2,36.0
16,4e9b6559753d4125,0.75,2,36.0
25,099ffdfefd6e45ca,0.75,2,36.0
36,34bf30bb101447b2,0.7662337662337663,3,59.0
11,8686aa3710cb43ef,0.8571428571428572,1,36.0
70,2401d0b90fc445c6,0.8571428571428572,1,36.0
72,0420acd8b1d9415f,0.8571428571428572,1,36.0
53,c121992e58ce4cd8,0.8571428571428572,1,36.0
52,5b8e285bb95f4634,0.8571428571428572,1,36.0
3,70cbb5a398bf43e4,0.8571428571428572,1,36.0
50,acabcab5f3b14602,0.8571428571428572,1,36.0
49,fc4703258c8e459d,0.8571428571428572,1,36.0
77,01fd5e96d7134f50,0.8571428571428572,1,36.0
42,bc395fad82974bab,0.8571428571428572,1,36.0
15,4506fb78bedd4fbc,0.8571428571428572,1,36.0
39,88a1b430b01b489a,0.8571428571428572,1,36.0
38,8d0b7465b2d349eb,0.8571428571428572,1,36.0
24,868d0aac00604b95,0.8571428571428572,1,36.0
12,2e0ac7b75b7f48dc,0.8571428571428572,1,36.0
22,ce22d2e90c8b415b,0.8571428571428572,1,36.0
23,ad75efed8f4942b4,0.8809509634712738,1,44.39939990234375
29,9d24fa86bb1e4894,0.9079283143552432,1,59.166614013671875
1,a52f549f983d4d43,0.9142857142857143,1,64.0
79,40fb624dbc6f4e0e,1.0,0,43.86599975585938
67,0d26551740c24c92,1.0,0,36.0
68,6aa9b93c75204c8e,1.0,0,36.0
69,e9a74da08c814aa4,1.0,0,36.0
20,4cc9797ac787401c,1.0,0,36.0
26,0b0fc9be2dce4de8,1.0,0,36.0
73,9e0ec205aae64dea,1.0,0,36.0
18,cd082a976fc443ab,1.0,0,36.0
75,bc287cca61ee4f4d,1.0,0,36.0
76,2d6bc4ef81ad42f5,1.0,0,36.0
17,c8fb1b9720874ddd,1.0,0,36.0
13,1ef5512421f14c15,1.0,0,36.0
63,a6e42384a3494fd3,1.0,0,36.0
61,8e1af6b945eb41ea,1.0,0,36.0
41,c46f4f6c745f4965,1.0,0,36.0
44,7343e188a557484c,1.0,0,36.0
46,96eda9e9463044b3,1.0,0,36.0
14,3bfc46986dac4aff,1.0,0,36.0
48,0766b1e59bc6430f,1.0,0,36.0
35,a9653df15703466f,1.0,0,36.0
34,9315a1c6935940a6,1.0,0,36.0
27,7874325087994661,1.0,0,36.0
32,35613a3cb1cf4ffd,1.0,0,36.0
30,66647521f6e94d3e,1.0,0,36.0
55,4fb5405c742f4231,1.0,0,36.0
56,26f1950c21de4ac6,1.0,0,36.0
28,b94466f5e7c5462f,1.0,0,36.0
59,f66d23c318cf42d7,1.0,0,36.0
7,04569bc7dbc44e3f,1.0,0,36.0
31,4dd7f78ed0844d1a,1.0,0,36.0
8,cf8a911d9e374971,1.0,0,36.0
